Date,Team1,Score1,Team2,Score2
11/6/2018,Cal Poly,87,Academy of Art,65
11/6/2018,Air Force,72,Western St CO,54
11/6/2018,Oregon,115,AK Fairbanks,36
11/6/2018,Arizona St,81,Incarnate Word,43
11/6/2018,Cincinnati,69,Austin Peay,48
11/6/2018,Michigan St,99,Bowling Green,69
11/6/2018,Brown,68,Central Conn,63
11/6/2018,Bryant,58,MA Lowell,57
11/6/2018,Bucknell,70,Monmouth NJ,32
11/6/2018,Charleston So,101,Converse,50
11/6/2018,Colorado,77,N Colorado,69
11/6/2018,Colorado St,72,E New Mexico,46
11/6/2018,Idaho,88,CS Northridge,73
11/6/2018,E Illinois,102,Oakland City,43
11/6/2018,North Carolina,100,Elon,69
11/6/2018,Miami FL,94,Florida Intl,43
11/6/2018,Northern Arizona,86,Fresno St,73
11/6/2018,Georgetown,73,Richmond,53
11/6/2018,Howard,57,La Salle,54
11/6/2018,Lehigh,73,Kutztown,39
11/6/2018,Lamar,79,Louisiana,77
11/6/2018,Manhattan,61,LIU Brooklyn,46
11/6/2018,Louisville,102,WKU,80
11/6/2018,N Dakota St,49,Mayville St,43
11/6/2018,Mississippi St,88,SE Missouri St,53
11/6/2018,Missouri,89,W Illinois,64
11/6/2018,Mt St Mary's,74,Washington MD,50
11/6/2018,St Peter's,70,NJIT,57
11/6/2018,Northwestern,57,WI Green Bay,55
11/6/2018,Youngstown St,69,Robert Morris,59
11/6/2018,Seton Hall,95,Wagner,40
11/6/2018,Tulsa,55,Stetson,54
11/6/2018,USC,73,UC Riverside,55
11/6/2018,VA Commonwealth,72,William & Mary,55
11/6/2018,Auburn,97,Grambling,48
11/6/2018,California,80,Houston,79
11/6/2018,New Orleans,104,Centenary,42
11/6/2018,Yale,80,Colgate,61
11/6/2018,West Virginia,78,Coppin St,37
11/6/2018,Temple,75,Delaware St,61
11/6/2018,TCU,61,Duquesne,48
11/6/2018,George Mason,70,Loyola MD,38
11/6/2018,Pepperdine,65,Hawaii,64
11/6/2018,Marquette,91,S Dakota St,52
11/6/2018,Massachusetts,78,Sacred Heart,61
11/6/2018,Mississippi,60,Norfolk St,42
11/6/2018,St Bonaventure,76,Niagara,48
11/6/2018,North Alabama,74,Vanderbilt,71
11/6/2018,Syracuse,85,North Dakota,49
11/6/2018,Princeton,89,Rider,65
11/6/2018,TN Martin,89,Samford,68
11/6/2018,Virginia Tech,96,SC Upstate,45
11/6/2018,Wake Forest,60,Towson,53
11/6/2018,Utah Valley,63,UC Santa Barbara,54
